Date,Mid Price
2/7/2022,97.27
2/6/2022,121.68
2/5/2022,111.26
2/4/2022,171.57
2/3/2022,93.56
2/2/2022,101.01
2/1/2022,143.53
1/31/2022,184.81
1/30/2022,179.99
1/29/2022,126.32
1/28/2022,129.34
1/27/2022,164.89
1/26/2022,146.78
1/25/2022,190.88
1/24/2022,273.48
1/23/2022,122.72
1/22/2022,52.51
1/21/2022,126.04
1/20/2022,72.93
1/19/2022,71.25
1/18/2022,77
1/17/2022,174.94
1/16/2022,507.73
1/15/2022,169.9
1/14/2022,73.63
1/13/2022,57.28
1/12/2022,91.97
1/11/2022,77.55
1/10/2022,120.25
1/9/2022,115.26
1/8/2022,139.45
1/7/2022,57.41
1/6/2022,235.1
1/5/2022,111.08
1/4/2022,192.08
1/3/2022,146.6
1/2/2022,157.01
1/1/2022,169.59
12/31/2021,132.09
12/30/2021,131.66
12/29/2021,84.18
12/28/2021,113.84
12/27/2021,179.41
12/26/2021,271.9
12/25/2021,203.29
12/24/2021,98.9
12/23/2021,171.54
12/22/2021,130.79
12/21/2021,164.17
12/20/2021,118.72
12/19/2021,185.69
12/18/2021,111.46
12/17/2021,130.93
12/16/2021,152.15
12/15/2021,103.8
12/14/2021,76.16
12/13/2021,214.47
12/12/2021,184.54
12/11/2021,84.96
12/10/2021,78.93
12/9/2021,59.47
12/8/2021,94.23
12/7/2021,121.78
12/6/2021,90.05
12/5/2021,173.55
12/4/2021,169.9
12/3/2021,219.57
12/2/2021,90.4
12/1/2021,108.42
11/30/2021,117.24
11/29/2021,103.8
11/28/2021,126.1
11/27/2021,44.45
11/26/2021,57.97
11/25/2021,58.34
11/24/2021,131.12
11/23/2021,98.64
11/22/2021,92.12
11/21/2021,87.77
11/20/2021,192.7
11/19/2021,120.37
11/18/2021,141.8
11/17/2021,114.88
11/16/2021,112.32
11/15/2021,107.9
11/14/2021,173.41
11/13/2021,79.21
11/12/2021,202.74
11/11/2021,65.66
11/10/2021,39
11/9/2021,149.84
11/8/2021,363.38
11/7/2021,264.34
11/6/2021,205.66
11/5/2021,211.53
11/4/2021,156.8
11/3/2021,188.57
11/2/2021,110.75
11/1/2021,136.17
10/31/2021,97.73
10/30/2021,61.28
10/29/2021,77.35
10/28/2021,90.49
10/27/2021,63.73
10/26/2021,99.45
10/25/2021,102.62
10/24/2021,185.92
10/23/2021,69.32
10/22/2021,101.73
10/21/2021,69.73
10/20/2021,59.85
10/19/2021,73.95
10/18/2021,159.77
10/17/2021,238.11
10/16/2021,86.82
10/15/2021,65.19
10/14/2021,94.34
10/13/2021,111.12
10/12/2021,90.52
10/11/2021,85.57
10/10/2021,122.3
10/9/2021,248.61
10/8/2021,96.69
10/7/2021,100.93
10/6/2021,145.53
10/5/2021,97.14
10/4/2021,148.03
10/3/2021,166.17
10/2/2021,100.28
10/1/2021,88.83
9/30/2021,142.53
9/29/2021,104.63
9/28/2021,126.3
9/27/2021,243.51
9/26/2021,108.75
9/25/2021,82.85
9/24/2021,86.86
9/23/2021,79.1
9/22/2021,98.64
9/21/2021,196.08
9/20/2021,159.31
9/19/2021,91.65
9/18/2021,63.85
9/17/2021,83.45
9/16/2021,44.76
9/15/2021,106.93
9/14/2021,135.76
9/13/2021,209.02
9/12/2021,152.3
9/11/2021,96.32
9/10/2021,72.22
9/9/2021,56.89
9/8/2021,118.66
9/7/2021,165.86
9/6/2021,222.33
9/5/2021,229.72
9/4/2021,78.8
9/3/2021,88.32
9/2/2021,72.75
9/1/2021,88.74
8/31/2021,166.77
8/30/2021,77.75
8/29/2021,105.19
8/28/2021,147.47
8/27/2021,69.52
8/26/2021,54.9
8/25/2021,74.18
8/24/2021,86.77
8/23/2021,177.96
8/22/2021,304.68
8/21/2021,70.76
8/20/2021,85.35
8/19/2021,78.58
8/18/2021,113.23
8/17/2021,113.72
8/16/2021,131.18
8/15/2021,91.76
8/14/2021,95.63
8/13/2021,101.4
8/12/2021,90.39
8/11/2021,96.07
8/10/2021,399.87
8/9/2021,134.96
8/8/2021,241.48
8/7/2021,57.9
8/6/2021,107.12
8/5/2021,179.01
8/4/2021,67.39
8/3/2021,77.81
8/2/2021,124.58
8/1/2021,125.09
7/31/2021,116.35
7/30/2021,133.44
7/29/2021,144.4
7/28/2021,152.66
7/27/2021,132.55
7/26/2021,125.45
7/25/2021,170.04
7/24/2021,89.31
7/23/2021,138.66
7/22/2021,91.1
7/21/2021,185.19
7/20/2021,130.37
7/19/2021,103.99
7/18/2021,216.59
7/17/2021,126.48
7/16/2021,140.71
7/15/2021,153.82
7/14/2021,98.68
7/13/2021,192.35
7/12/2021,144.11
7/11/2021,118.92
7/10/2021,113.6
7/9/2021,84.3
7/8/2021,67.69
7/7/2021,57.23
7/6/2021,199.58
7/5/2021,144.78
7/4/2021,160.07
7/3/2021,82.15
7/2/2021,133.09
7/1/2021,82.66
6/30/2021,133.65
6/29/2021,74.51
6/28/2021,168.47
6/27/2021,302.87
6/26/2021,73.15
6/25/2021,92.88
6/24/2021,113.04
6/23/2021,60.28
6/22/2021,100
6/21/2021,174.11
6/20/2021,95.85
6/19/2021,64.25
6/18/2021,142.32
6/17/2021,94.44
6/16/2021,104.83
6/15/2021,109.37
6/14/2021,117.23
6/13/2021,127.53
6/12/2021,63.44
6/11/2021,97.74
6/10/2021,122.88
6/9/2021,131.85
6/8/2021,109.81
6/7/2021,111.43
6/6/2021,122.76
6/5/2021,48.51
6/4/2021,68
6/3/2021,109.44
6/2/2021,83.31
6/1/2021,176.43
5/31/2021,74.69
5/30/2021,91.45
5/29/2021,20.63
5/28/2021,171.86
5/27/2021,70.25
5/26/2021,71.66
5/25/2021,145.6
5/24/2021,183.43
5/23/2021,181.82
5/22/2021,80.84
5/21/2021,108.94
5/20/2021,189.22
5/19/2021,147.69
5/18/2021,96.41
5/17/2021,128.94
5/16/2021,129.76
5/15/2021,53.8
5/14/2021,100.11
5/13/2021,94.65
5/12/2021,78.7
5/11/2021,175.89
5/10/2021,168.8
5/9/2021,114.95
5/8/2021,134.18
5/7/2021,170.41
5/6/2021,142.39
5/5/2021,176.89
5/4/2021,119.21
5/3/2021,297.27
5/2/2021,184.5
5/1/2021,107.85
4/30/2021,125.83
4/29/2021,153.32
4/28/2021,102.3
4/27/2021,165.42
4/26/2021,84.99
4/25/2021,106.95
4/24/2021,76.35
4/23/2021,102.84
4/22/2021,70.82
4/21/2021,100.71
4/20/2021,89.99
4/19/2021,92
4/18/2021,128.86
4/17/2021,108.04
4/16/2021,86.85
4/15/2021,111.93
4/14/2021,65.13
4/13/2021,112.82
4/12/2021,69.6
4/11/2021,300.55
4/10/2021,138.65
4/9/2021,115.04
4/8/2021,115.07
4/7/2021,205.44
4/6/2021,125.46
4/5/2021,181.6
4/4/2021,210.38
4/3/2021,120.78
4/2/2021,130.61
4/1/2021,76.09
3/31/2021,136.03
3/30/2021,121.16
3/29/2021,177.66
3/28/2021,155.99
3/27/2021,87.78
3/26/2021,108.99
3/25/2021,142.05
3/24/2021,126.24
3/23/2021,193.53
3/22/2021,275.36
3/21/2021,152.98
3/20/2021,301.26
3/19/2021,211.66
3/18/2021,180.02
3/17/2021,187.89
3/16/2021,87.46
3/15/2021,206.85
3/14/2021,216.17
3/13/2021,108.34
3/12/2021,106.71
3/11/2021,275.24
3/10/2021,195.33
3/9/2021,167.78
3/8/2021,328.48
3/7/2021,229.1
3/6/2021,206.96
3/5/2021,231.03
3/4/2021,76.48
3/3/2021,103.44
3/2/2021,122
3/1/2021,257.79
2/28/2021,194.65
2/27/2021,220.62
2/26/2021,223.25
2/25/2021,124.74
2/24/2021,186.94
2/23/2021,145.25
2/22/2021,132.3
2/21/2021,135.8
2/20/2021,107.05
2/19/2021,106.51
2/18/2021,148.02
2/17/2021,84.88
2/16/2021,150.29
2/15/2021,152.79
2/14/2021,153.61
2/13/2021,180
2/12/2021,211.29
2/11/2021,121.93
2/10/2021,113.01
2/9/2021,84.45
2/8/2021,232.61
2/7/2021,200.27
2/6/2021,99.84
2/5/2021,111.2
2/4/2021,129.36
2/3/2021,145.65
2/2/2021,282.75
2/1/2021,144.04
1/31/2021,199.79
1/30/2021,139.41
1/29/2021,248.96
1/28/2021,150
1/27/2021,251.13
1/26/2021,254.93
1/25/2021,241.85
1/24/2021,291.37
1/23/2021,147.81
1/22/2021,192
1/21/2021,280.95
1/20/2021,309.33
1/19/2021,170.18
1/18/2021,159.6
1/17/2021,209.94
1/16/2021,228.3
1/15/2021,149.93
1/14/2021,157.94
1/13/2021,223.57
1/12/2021,229.15
1/11/2021,308.7
1/10/2021,283.14
1/9/2021,115.22
1/8/2021,104.8
1/7/2021,124.29
1/6/2021,139.81
1/5/2021,208.61
1/4/2021,233.3
1/3/2021,324.05
1/2/2021,190.39
1/1/2021,429.48
12/31/2020,307.12
12/30/2020,368.46
12/29/2020,286.36
12/28/2020,217.47
12/27/2020,358.97
12/26/2020,699.78
12/25/2020,174.42
12/24/2020,256.16
12/23/2020,291.07
12/22/2020,147.55
12/21/2020,246.79
12/20/2020,196.41
12/19/2020,154.77
12/18/2020,146.67
12/17/2020,195.87
12/16/2020,136.12
12/15/2020,139.29
12/14/2020,186.91
12/13/2020,379.17
12/12/2020,141.22
12/11/2020,122.3
12/10/2020,256.04
12/9/2020,144.77
12/8/2020,259.64
12/7/2020,269.89
12/6/2020,363.84
12/5/2020,141.89
12/4/2020,215.13
12/3/2020,189.91
12/2/2020,156.7
12/1/2020,248.2
11/30/2020,156.15
11/29/2020,258.52
11/28/2020,149.05
11/27/2020,238.32
11/26/2020,157.55
11/25/2020,276.82
11/24/2020,262.51
11/23/2020,415.59
11/22/2020,359.33
11/21/2020,196.02
11/20/2020,230.2
11/19/2020,224.65
11/18/2020,154.81
11/17/2020,196.81
11/16/2020,254.24
11/15/2020,218.9
11/14/2020,225.66
11/13/2020,123.79
11/12/2020,184.25
11/11/2020,252.06
11/10/2020,192.03
11/9/2020,254.34
11/8/2020,416.76
11/7/2020,452.23
11/6/2020,390.29
11/5/2020,303.07
11/4/2020,370.7
11/3/2020,335.3
11/2/2020,418.93
11/1/2020,271.71
10/31/2020,186.36
10/30/2020,277.43
10/29/2020,298.36
10/28/2020,234.14
10/27/2020,187.07
10/26/2020,294.62
10/25/2020,369.86
10/24/2020,129.44
10/23/2020,138.34
10/22/2020,167.77
10/21/2020,158.05
10/20/2020,234.01
10/19/2020,249.35
10/18/2020,285.62
10/17/2020,161.13
10/16/2020,200.48
10/15/2020,141.19
10/14/2020,341.81
10/13/2020,220.87
10/12/2020,289.7
10/11/2020,492.14
10/10/2020,396.92
10/9/2020,306.7
10/8/2020,294.91
10/7/2020,426.88
10/6/2020,334.28
10/5/2020,273.84
10/4/2020,332.63
10/3/2020,340.62
10/2/2020,390.29
10/1/2020,259.5
9/30/2020,207.77
9/29/2020,185.6
9/28/2020,189.79
9/27/2020,317.07
9/26/2020,134.92
9/25/2020,252.32
9/24/2020,246.25
9/23/2020,161.46
9/22/2020,126.1
9/21/2020,177.56
9/20/2020,437.15
9/19/2020,187.42
9/18/2020,244.41
9/17/2020,248.91
9/16/2020,244.64
9/15/2020,245.27
9/14/2020,270.62
9/13/2020,318.66
9/12/2020,218.84
9/11/2020,237.03
9/10/2020,218.1
9/9/2020,209.54
9/8/2020,208.78
9/7/2020,491.37
9/6/2020,484.25
9/5/2020,258.22
9/4/2020,224.01
9/3/2020,243.52
9/2/2020,237.83
9/1/2020,204.69
8/31/2020,169.1
8/30/2020,296.28
8/29/2020,339.77
8/28/2020,296.28
8/27/2020,180.61
8/26/2020,154.27
8/25/2020,213.68
8/24/2020,186.9
8/23/2020,380.2
8/22/2020,217.76
8/21/2020,286.03
8/20/2020,250.25
8/19/2020,216.18
8/18/2020,341.68
8/17/2020,350.55
8/16/2020,531.9
8/15/2020,324.57
8/14/2020,345.8
8/13/2020,282.72
8/12/2020,202.2
8/11/2020,359.14
8/10/2020,388.62
8/9/2020,398.91
8/8/2020,353.43
8/7/2020,276.7
8/6/2020,285.63
8/5/2020,253.99
8/4/2020,391.33
8/3/2020,271.04
8/2/2020,405.97
8/1/2020,304.7
7/31/2020,384.08
7/30/2020,307.77
7/29/2020,370.27
7/28/2020,315.73
7/27/2020,521.96
7/26/2020,465.25
7/25/2020,279.85
7/24/2020,290.25
7/23/2020,282.1
7/22/2020,297.02
7/21/2020,423.52
7/20/2020,430.14
7/19/2020,640
7/18/2020,388.97
7/17/2020,555.06
7/16/2020,313.71
7/15/2020,352.74
7/14/2020,308.28
7/13/2020,212.54
7/12/2020,496.99
7/11/2020,237.89
7/10/2020,259.27
7/9/2020,267.49
7/8/2020,319.33
7/7/2020,278.61
7/6/2020,389.2
7/5/2020,415.94
7/4/2020,347.74
7/3/2020,412.01
7/2/2020,249.7
7/1/2020,329.62
6/30/2020,292.37
6/29/2020,301.58
6/28/2020,561.21
6/27/2020,276.22
6/26/2020,260.33
6/25/2020,225.72
6/24/2020,224.4
6/23/2020,309.15
6/22/2020,259.55
6/21/2020,413.51
6/20/2020,515.46
6/19/2020,450.64
6/18/2020,322.96
6/17/2020,348.4
6/16/2020,319.69
6/15/2020,300.34
6/14/2020,397.45
6/13/2020,373.28
6/12/2020,293.12
6/11/2020,317.86
6/10/2020,237.88
6/9/2020,191.32
6/8/2020,318.64
6/7/2020,391.21
6/6/2020,277.42
6/5/2020,235.07
6/4/2020,231.24
6/3/2020,287.17
6/2/2020,257.49
6/1/2020,226.8
5/31/2020,557.19
5/30/2020,418.18
5/29/2020,426.28
5/28/2020,421.99
5/27/2020,355.1
5/26/2020,389.21
5/25/2020,462.96
5/24/2020,458.16
5/23/2020,441.45
5/22/2020,418.96
5/21/2020,361.11
5/20/2020,420.68
5/19/2020,363.66
5/18/2020,511.62
